1230694	0	total (QC-passed reads + QC-failed reads)
1230694	0	primary
0	0	secondary
0	0	supplementary
0	0	duplicates
0	0	primary duplicates
804384	0	mapped
65.36%	N/A	mapped %
804384	0	primary mapped
65.36%	N/A	primary mapped %
188448	0	paired in sequencing
94224	0	read1
94224	0	read2
99244	0	properly paired
52.66%	N/A	properly paired %
188448	0	with itself and mate mapped
0	0	singletons
0.00%	N/A	singletons %
0	0	with mate mapped to a different chr
0	0	with mate mapped to a different chr (mapQ>=5)
